Company,Role,Experience Level (Years),Salary (INR in LPA)
Wipro,Data Analyst,0-1,4
Capgemini,Data Analyst,1-2,5.3
McKinsey,Financial Analyst,2-3,5.7
IBM,Business Analyst,0-1,4.3
KPMG,Financial Analyst,5-7,9.2
PwC,Data Analyst,5-7,10.6
Deloitte,Financial Analyst,3-5,8.3
IBM,Data Analyst,1-2,4.3
Genpact,Business Analyst,2-3,6.3
TCS,Data Analyst,0-1,4.2
Deloitte,Operations Analyst,2-3,6.2
Wipro,Data Analyst,5-7,9.9
Wipro,Operations Analyst,7+,10.6
HCL,Data Analyst,3-5,8.3
HCL,Operations Analyst,5-7,9
IBM,Operations Analyst,0-1,3.8
HCL,Data Analyst,3-5,8.1
EY,Business Analyst,1-2,6.5
PwC,Business Analyst,5-7,11.3
KPMG,Marketing Analyst,3-5,7.4
KPMG,Data Analyst,1-2,5.9
Cognizant,Operations Analyst,0-1,4.4
HCL,Business Analyst,7+,13.2
EY,Financial Analyst,7+,12.7
Accenture,Business Analyst,5-7,10.5
TCS,Financial Analyst,7+,11.7
Deloitte,Operations Analyst,1-2,4.5
Accenture,Operations Analyst,7+,9.5
Infosys,Data Analyst,7+,12.4
IBM,Operations Analyst,7+,10.4
HCL,Data Analyst,5-7,10.5
TCS,Business Analyst,7+,13.7
KPMG,Financial Analyst,3-5,8.1
IBM,Data Analyst,2-3,5.6
ZS Associates,Marketing Analyst,3-5,8.1
Deloitte,Business Analyst,3-5,7.9
Capgemini,Data Analyst,0-1,4.4
Cognizant,Marketing Analyst,2-3,6
IBM,Financial Analyst,2-3,6.7
Cognizant,Financial Analyst,7+,12.1
Accenture,Business Analyst,3-5,8.6
Capgemini,Marketing Analyst,7+,11.9
HCL,Business Analyst,5-7,10.8
Genpact,Financial Analyst,2-3,6.7
Wipro,Financial Analyst,2-3,7
McKinsey,Financial Analyst,1-2,5.4
Accenture,Business Analyst,5-7,10.8
McKinsey,Operations Analyst,5-7,8.8
Infosys,Marketing Analyst,1-2,5.1
IBM,Data Analyst,0-1,4.6
Genpact,Marketing Analyst,0-1,3.8
HCL,Marketing Analyst,5-7,9.1
EY,Operations Analyst,7+,9.9
Accenture,Financial Analyst,2-3,7.3
HCL,Financial Analyst,1-2,5.6
Deloitte,Operations Analyst,7+,9.9
Wipro,Marketing Analyst,2-3,6.4
Deloitte,Marketing Analyst,5-7,10
Wipro,Marketing Analyst,2-3,5.5
HCL,Data Analyst,2-3,6.6
ZS Associates,Business Analyst,2-3,7.4
Accenture,Operations Analyst,3-5,7.2
TCS,Financial Analyst,2-3,7.2
Accenture,Business Analyst,2-3,6.7
TCS,Operations Analyst,7+,9.5
Wipro,Marketing Analyst,5-7,8.7
Genpact,Business Analyst,3-5,8.9
TCS,Data Analyst,2-3,6.7
IBM,Marketing Analyst,7+,11
Cognizant,Business Analyst,3-5,8
Capgemini,Financial Analyst,2-3,6.5
ZS Associates,Financial Analyst,1-2,6.1
Wipro,Business Analyst,3-5,8.7
KPMG,Marketing Analyst,5-7,9.1
Capgemini,Marketing Analyst,5-7,9
Deloitte,Data Analyst,0-1,4
Cognizant,Financial Analyst,2-3,6.4
Accenture,Operations Analyst,7+,10.9
EY,Operations Analyst,7+,10.1
Wipro,Financial Analyst,7+,13.6
Accenture,Marketing Analyst,1-2,5.2
ZS Associates,Financial Analyst,7+,12.2
Infosys,Financial Analyst,0-1,5.2
PwC,Data Analyst,5-7,9.7
Capgemini,Operations Analyst,3-5,7.2
ZS Associates,Data Analyst,3-5,7.7
Infosys,Data Analyst,1-2,5.7
Genpact,Marketing Analyst,7+,12.1
HCL,Operations Analyst,1-2,5.2
HCL,Operations Analyst,2-3,4.9
Capgemini,Data Analyst,1-2,5.6
McKinsey,Marketing Analyst,7+,10.2
IBM,Business Analyst,2-3,6.6
Capgemini,Financial Analyst,7+,12.4
Deloitte,Data Analyst,0-1,3.5
Genpact,Operations Analyst,5-7,8
ZS Associates,Data Analyst,7+,12.6
Cognizant,Data Analyst,7+,12.7
TCS,Marketing Analyst,3-5,7.4
EY,Business Analyst,3-5,8.1
Cognizant,Marketing Analyst,5-7,8.5
Wipro,Business Analyst,3-5,7.6
EY,Business Analyst,2-3,7
ZS Associates,Marketing Analyst,0-1,3.9
TCS,Data Analyst,1-2,5.5
Capgemini,Data Analyst,7+,12.4
HCL,Marketing Analyst,2-3,5.6
ZS Associates,Data Analyst,2-3,6.9
IBM,Marketing Analyst,3-5,7.3
EY,Financial Analyst,5-7,9.6
Capgemini,Marketing Analyst,2-3,5.4
Accenture,Data Analyst,1-2,5.5
IBM,Financial Analyst,0-1,4.5
Capgemini,Business Analyst,5-7,11.5
Deloitte,Marketing Analyst,2-3,6.6
Deloitte,Marketing Analyst,0-1,3.9
KPMG,Financial Analyst,3-5,8
Accenture,Business Analyst,0-1,5.2
IBM,Data Analyst,2-3,6.4
Cognizant,Business Analyst,7+,12.9
Accenture,Operations Analyst,3-5,7.2
Cognizant,Business Analyst,0-1,4.8
Capgemini,Data Analyst,3-5,9.1
HCL,Operations Analyst,5-7,8.4
Infosys,Marketing Analyst,1-2,4.8
KPMG,Marketing Analyst,7+,10.4
Capgemini,Data Analyst,3-5,8.8
Accenture,Marketing Analyst,2-3,5.7
TCS,Business Analyst,5-7,10.9
IBM,Operations Analyst,1-2,4.7
ZS Associates,Financial Analyst,7+,12
Deloitte,Marketing Analyst,7+,11.5
ZS Associates,Marketing Analyst,1-2,4.5
IBM,Business Analyst,7+,12.9
Cognizant,Data Analyst,3-5,8.8
McKinsey,Marketing Analyst,2-3,5.6
Cognizant,Data Analyst,1-2,5.6
Accenture,Operations Analyst,0-1,4.1
PwC,Data Analyst,7+,12.8
IBM,Financial Analyst,5-7,10.6
Cognizant,Financial Analyst,0-1,4.8
Wipro,Data Analyst,0-1,4
Wipro,Marketing Analyst,2-3,5.7
HCL,Data Analyst,5-7,9.9
Cognizant,Marketing Analyst,3-5,6.7
McKinsey,Marketing Analyst,1-2,6.1
Wipro,Marketing Analyst,7+,11.2
ZS Associates,Data Analyst,2-3,6.9
ZS Associates,Business Analyst,0-1,5.7
McKinsey,Financial Analyst,5-7,11
Cognizant,Marketing Analyst,2-3,6
Wipro,Data Analyst,0-1,4.4
TCS,Marketing Analyst,0-1,4.4
Cognizant,Data Analyst,7+,11.5
EY,Financial Analyst,1-2,5.7
Cognizant,Operations Analyst,1-2,4.5
TCS,Business Analyst,7+,13.1
McKinsey,Operations Analyst,7+,11
Capgemini,Marketing Analyst,5-7,9.1
Wipro,Marketing Analyst,0-1,3
IBM,Data Analyst,3-5,8.3
KPMG,Marketing Analyst,2-3,6
Wipro,Operations Analyst,0-1,4.2
EY,Financial Analyst,7+,12.6
PwC,Marketing Analyst,2-3,6
HCL,Financial Analyst,5-7,10.7
Infosys,Operations Analyst,1-2,4.8
Capgemini,Marketing Analyst,7+,11.7
Wipro,Marketing Analyst,1-2,5.6
TCS,Operations Analyst,7+,11.1
PwC,Operations Analyst,3-5,7.2
IBM,Business Analyst,2-3,7
Wipro,Operations Analyst,2-3,5.1
ZS Associates,Operations Analyst,2-3,7.5
Infosys,Data Analyst,2-3,5.8
PwC,Marketing Analyst,5-7,8.1
Deloitte,Business Analyst,5-7,10.8
PwC,Operations Analyst,3-5,6.1
Deloitte,Business Analyst,0-1,5.8
McKinsey,Business Analyst,5-7,11.2
Accenture,Business Analyst,0-1,5.3
Deloitte,Business Analyst,5-7,10.8
Wipro,Financial Analyst,5-7,9.8
KPMG,Marketing Analyst,1-2,4.9
Infosys,Business Analyst,5-7,11.1
Accenture,Marketing Analyst,1-2,5.1
HCL,Operations Analyst,0-1,4.5
KPMG,Marketing Analyst,7+,11
KPMG,Financial Analyst,5-7,10.9
PwC,Business Analyst,5-7,11.3
KPMG,Business Analyst,0-1,5.6
Deloitte,Operations Analyst,3-5,6.7
Genpact,Operations Analyst,7+,10.5
ZS Associates,Data Analyst,5-7,10.3
Accenture,Data Analyst,1-2,4.2
Capgemini,Operations Analyst,5-7,9.3
TCS,Marketing Analyst,3-5,7.4
IBM,Financial Analyst,3-5,8.5
Infosys,Business Analyst,1-2,6.2
Genpact,Operations Analyst,0-1,3.6
ZS Associates,Financial Analyst,7+,12
PwC,Operations Analyst,7+,11.4
Wipro,Business Analyst,1-2,6.5
Wipro,Business Analyst,7+,13.3
McKinsey,Data Analyst,0-1,4.6
PwC,Marketing Analyst,0-1,4.3
Deloitte,Data Analyst,0-1,4
KPMG,Marketing Analyst,0-1,4.7
Wipro,Data Analyst,1-2,6
Infosys,Operations Analyst,7+,10.4
ZS Associates,Operations Analyst,0-1,4
HCL,Marketing Analyst,3-5,7.9
HCL,Data Analyst,0-1,5.1
KPMG,Business Analyst,3-5,8.8
EY,Data Analyst,2-3,6.9
Wipro,Marketing Analyst,2-3,6
PwC,Financial Analyst,5-7,10.7
KPMG,Data Analyst,0-1,5.4
TCS,Operations Analyst,7+,10.5
KPMG,Financial Analyst,3-5,8.4
ZS Associates,Marketing Analyst,3-5,7.3
IBM,Business Analyst,7+,13.5
Infosys,Financial Analyst,1-2,6.1
Infosys,Financial Analyst,2-3,6.8
Genpact,Operations Analyst,2-3,5.5
Accenture,Financial Analyst,3-5,7.4
ZS Associates,Marketing Analyst,7+,11.6
Accenture,Financial Analyst,0-1,4.5
KPMG,Operations Analyst,2-3,4.9
EY,Marketing Analyst,0-1,4.9
Cognizant,Financial Analyst,7+,13.1
HCL,Marketing Analyst,5-7,9.2
ZS Associates,Data Analyst,1-2,5.4
Genpact,Operations Analyst,1-2,4.7
Accenture,Business Analyst,1-2,5.5
PwC,Data Analyst,0-1,3.9
Wipro,Financial Analyst,1-2,5
EY,Data Analyst,2-3,6
McKinsey,Business Analyst,2-3,6.5
Infosys,Financial Analyst,5-7,11.4
KPMG,Marketing Analyst,2-3,5.7
Cognizant,Business Analyst,7+,13.7
TCS,Financial Analyst,1-2,6.3
ZS Associates,Data Analyst,7+,11.4
IBM,Business Analyst,5-7,10.5
PwC,Data Analyst,2-3,6.4
TCS,Marketing Analyst,1-2,5.1
Genpact,Data Analyst,5-7,9.9
PwC,Data Analyst,0-1,4.5
PwC,Financial Analyst,0-1,5.2
Genpact,Business Analyst,7+,12.6
TCS,Data Analyst,1-2,5.5
KPMG,Marketing Analyst,2-3,5.9
Accenture,Data Analyst,3-5,8.1
Wipro,Data Analyst,2-3,6.6
McKinsey,Financial Analyst,3-5,9
McKinsey,Business Analyst,3-5,9.1
HCL,Data Analyst,5-7,10.2
Cognizant,Data Analyst,0-1,4.8
Genpact,Operations Analyst,2-3,6.7
McKinsey,Data Analyst,2-3,6.3
EY,Business Analyst,1-2,6.2
Wipro,Operations Analyst,7+,10.7
KPMG,Business Analyst,7+,13.4
Genpact,Financial Analyst,7+,12.9
McKinsey,Data Analyst,0-1,4.8
Infosys,Data Analyst,3-5,7.7
IBM,Data Analyst,7+,11.8
McKinsey,Financial Analyst,2-3,7.5
IBM,Business Analyst,3-5,7.9
Cognizant,Marketing Analyst,1-2,5.1
EY,Financial Analyst,1-2,5.5
TCS,Marketing Analyst,3-5,7.5
Cognizant,Data Analyst,2-3,7.4
Deloitte,Operations Analyst,5-7,8.3
Accenture,Data Analyst,1-2,5.9
KPMG,Financial Analyst,3-5,8.5
Accenture,Data Analyst,3-5,7.9
McKinsey,Data Analyst,5-7,10.4
HCL,Business Analyst,3-5,8.6
Genpact,Operations Analyst,3-5,7.1
Genpact,Business Analyst,0-1,5.4
Deloitte,Data Analyst,5-7,10
HCL,Data Analyst,7+,12.1
TCS,Data Analyst,7+,13.5
Accenture,Business Analyst,0-1,4.7
Genpact,Data Analyst,7+,11
ZS Associates,Operations Analyst,5-7,9.6
PwC,Operations Analyst,0-1,3.7
Infosys,Operations Analyst,1-2,5.5
Genpact,Data Analyst,7+,12.1
Deloitte,Financial Analyst,1-2,6.4
EY,Data Analyst,1-2,6.4
IBM,Financial Analyst,7+,12.2
Cognizant,Financial Analyst,7+,12.2
Cognizant,Marketing Analyst,2-3,5
Genpact,Data Analyst,2-3,7.2
KPMG,Business Analyst,1-2,6
KPMG,Operations Analyst,7+,9.9
Deloitte,Business Analyst,5-7,10.5
Deloitte,Operations Analyst,5-7,8.8
HCL,Business Analyst,0-1,4.8
Deloitte,Financial Analyst,1-2,5.2
Deloitte,Operations Analyst,0-1,4
Cognizant,Operations Analyst,5-7,8.4
Wipro,Business Analyst,3-5,8.7
ZS Associates,Data Analyst,5-7,10.3
ZS Associates,Data Analyst,2-3,6.3
Infosys,Operations Analyst,2-3,5.5
KPMG,Business Analyst,0-1,5
Accenture,Data Analyst,1-2,6
KPMG,Business Analyst,7+,12.3
Capgemini,Marketing Analyst,3-5,7.5
PwC,Data Analyst,0-1,4.4
HCL,Marketing Analyst,5-7,8.7
Wipro,Business Analyst,5-7,10.6
Genpact,Financial Analyst,7+,12.5
PwC,Financial Analyst,3-5,8.6
Wipro,Financial Analyst,7+,13.1
Wipro,Business Analyst,7+,12.8
Cognizant,Marketing Analyst,1-2,5.5
HCL,Data Analyst,3-5,8.2
Accenture,Operations Analyst,7+,11.2
Infosys,Business Analyst,3-5,8.7
IBM,Operations Analyst,2-3,5.4
Infosys,Marketing Analyst,0-1,3.6
McKinsey,Data Analyst,2-3,5.7
Accenture,Business Analyst,3-5,8.6
Genpact,Business Analyst,3-5,9.1
McKinsey,Operations Analyst,5-7,8.4
Capgemini,Financial Analyst,0-1,5.6
Capgemini,Operations Analyst,2-3,6.3
Deloitte,Business Analyst,1-2,6.4
EY,Marketing Analyst,2-3,6.3
Deloitte,Data Analyst,2-3,7
TCS,Financial Analyst,7+,12.6
IBM,Operations Analyst,1-2,4
Genpact,Operations Analyst,2-3,5
Infosys,Operations Analyst,3-5,7.3
Infosys,Marketing Analyst,1-2,4.5
IBM,Data Analyst,5-7,10.7
Cognizant,Operations Analyst,5-7,9.3
TCS,Data Analyst,7+,12.2
Wipro,Operations Analyst,5-7,9
Wipro,Data Analyst,7+,12.2
HCL,Financial Analyst,3-5,8.5
KPMG,Operations Analyst,2-3,6.3
KPMG,Operations Analyst,5-7,9.4
Wipro,Marketing Analyst,5-7,8.7
KPMG,Business Analyst,0-1,5.2
KPMG,Financial Analyst,5-7,11
Accenture,Operations Analyst,1-2,4.5
HCL,Financial Analyst,2-3,6.7
EY,Business Analyst,5-7,10.3
KPMG,Financial Analyst,7+,12.2
EY,Marketing Analyst,5-7,8.7
Accenture,Marketing Analyst,1-2,6.1
PwC,Data Analyst,1-2,5.8
Wipro,Financial Analyst,5-7,11.3
EY,Financial Analyst,7+,12.8
Accenture,Marketing Analyst,5-7,8.9
Infosys,Data Analyst,2-3,7
McKinsey,Financial Analyst,0-1,5.5
Infosys,Marketing Analyst,0-1,4.5
TCS,Business Analyst,0-1,4.6
HCL,Business Analyst,3-5,8.4
Capgemini,Marketing Analyst,7+,10.4
TCS,Financial Analyst,3-5,6.9
HCL,Business Analyst,5-7,10.9
Deloitte,Business Analyst,3-5,8.6
IBM,Financial Analyst,7+,12.3
PwC,Operations Analyst,1-2,4.9
PwC,Financial Analyst,5-7,10.1
Wipro,Financial Analyst,5-7,10.6
ZS Associates,Financial Analyst,2-3,6.9
PwC,Operations Analyst,1-2,5.2
ZS Associates,Operations Analyst,7+,11.3
Genpact,Marketing Analyst,3-5,7.7
Genpact,Operations Analyst,2-3,6
Genpact,Financial Analyst,1-2,5.7
TCS,Business Analyst,3-5,7.7
Cognizant,Operations Analyst,3-5,7
Capgemini,Financial Analyst,7+,12.7
Capgemini,Operations Analyst,7+,9.8
HCL,Marketing Analyst,5-7,8.4
McKinsey,Marketing Analyst,1-2,5.4
Cognizant,Business Analyst,2-3,6.8
IBM,Operations Analyst,7+,10.1
Capgemini,Financial Analyst,3-5,8.7
IBM,Data Analyst,0-1,3.6
ZS Associates,Business Analyst,5-7,10.8
Capgemini,Business Analyst,0-1,4.7
EY,Financial Analyst,3-5,7.7
Capgemini,Data Analyst,1-2,5.7
Infosys,Operations Analyst,0-1,3
ZS Associates,Marketing Analyst,1-2,5
ZS Associates,Marketing Analyst,3-5,6.8
TCS,Financial Analyst,3-5,8.7
EY,Marketing Analyst,2-3,5.8
ZS Associates,Operations Analyst,5-7,9.8
McKinsey,Marketing Analyst,3-5,8.3
Infosys,Data Analyst,5-7,9.6
TCS,Marketing Analyst,5-7,9.2
Genpact,Financial Analyst,3-5,6.9
TCS,Operations Analyst,7+,10.4
Capgemini,Data Analyst,7+,12.6
KPMG,Financial Analyst,3-5,7.9
Deloitte,Financial Analyst,5-7,10.2
ZS Associates,Data Analyst,7+,12.2
Accenture,Business Analyst,3-5,8.1
HCL,Operations Analyst,1-2,4.4
EY,Data Analyst,3-5,7.3
PwC,Data Analyst,0-1,4.2
Cognizant,Operations Analyst,0-1,3.5
Wipro,Operations Analyst,7+,10.1
Capgemini,Financial Analyst,1-2,6
Accenture,Data Analyst,3-5,8.7
ZS Associates,Operations Analyst,1-2,4.8
Genpact,Operations Analyst,1-2,5.6
HCL,Business Analyst,5-7,11.6
Infosys,Data Analyst,2-3,6.9
PwC,Data Analyst,3-5,8.3
Infosys,Marketing Analyst,7+,13
Deloitte,Data Analyst,3-5,8.3
ZS Associates,Marketing Analyst,0-1,4.6
HCL,Data Analyst,0-1,4.9
McKinsey,Financial Analyst,2-3,7.6
Infosys,Financial Analyst,0-1,4.9
Accenture,Operations Analyst,7+,9.8
TCS,Business Analyst,7+,13.8
KPMG,Financial Analyst,2-3,6.9
Capgemini,Data Analyst,5-7,10
KPMG,Marketing Analyst,2-3,6.1
Deloitte,Financial Analyst,7+,12.9
Accenture,Financial Analyst,3-5,7.5
PwC,Business Analyst,0-1,5.4
Genpact,Financial Analyst,1-2,6.5
IBM,Financial Analyst,7+,12.4
Deloitte,Business Analyst,1-2,5.6
Capgemini,Data Analyst,3-5,7.8
PwC,Marketing Analyst,2-3,5.4
ZS Associates,Marketing Analyst,7+,11.4
KPMG,Business Analyst,7+,12.9
TCS,Business Analyst,0-1,5.4
McKinsey,Financial Analyst,2-3,7.2
Capgemini,Operations Analyst,2-3,5.3
EY,Business Analyst,3-5,9.4
IBM,Marketing Analyst,0-1,5
KPMG,Business Analyst,5-7,10.8
ZS Associates,Marketing Analyst,0-1,4
HCL,Data Analyst,3-5,8.2
TCS,Operations Analyst,1-2,5.2
Genpact,Data Analyst,5-7,9.2
Capgemini,Data Analyst,1-2,6
IBM,Marketing Analyst,2-3,6.1
EY,Operations Analyst,3-5,7
KPMG,Business Analyst,1-2,6.5
ZS Associates,Marketing Analyst,0-1,4.1
Accenture,Business Analyst,5-7,10.8
Accenture,Operations Analyst,2-3,5.9
Deloitte,Marketing Analyst,2-3,5.7
Genpact,Financial Analyst,3-5,8.4
HCL,Financial Analyst,5-7,10.3
HCL,Marketing Analyst,1-2,4.7
EY,Marketing Analyst,0-1,4.6
IBM,Data Analyst,7+,12.3
Deloitte,Data Analyst,1-2,4.8
TCS,Business Analyst,5-7,10.9
KPMG,Operations Analyst,7+,10.6
Cognizant,Data Analyst,0-1,3.9
TCS,Data Analyst,7+,12.1
HCL,Financial Analyst,7+,12.3
Cognizant,Operations Analyst,2-3,5.7
HCL,Data Analyst,5-7,9.7
Infosys,Data Analyst,1-2,5.6
McKinsey,Operations Analyst,1-2,4.2
EY,Business Analyst,3-5,8.3
Deloitte,Data Analyst,7+,11.8
IBM,Financial Analyst,2-3,7.1
Cognizant,Marketing Analyst,2-3,5.9
PwC,Financial Analyst,1-2,5.5
IBM,Operations Analyst,5-7,8.1
Deloitte,Financial Analyst,3-5,7.8
HCL,Business Analyst,7+,12.5
Genpact,Marketing Analyst,2-3,5.6
IBM,Marketing Analyst,5-7,9
EY,Financial Analyst,7+,11.7
Capgemini,Financial Analyst,0-1,5.2
Infosys,Marketing Analyst,2-3,5.8
Infosys,Business Analyst,5-7,10.4
McKinsey,Business Analyst,1-2,6.9
Accenture,Operations Analyst,5-7,8.2
Genpact,Operations Analyst,5-7,7.7
Genpact,Business Analyst,5-7,10
Infosys,Business Analyst,1-2,5.4
Cognizant,Business Analyst,0-1,5.3
Capgemini,Financial Analyst,2-3,5.9
McKinsey,Financial Analyst,2-3,7.6
Accenture,Financial Analyst,7+,12.2
Deloitte,Marketing Analyst,7+,10.6
Wipro,Business Analyst,2-3,7.4
ZS Associates,Marketing Analyst,3-5,8.1
Deloitte,Financial Analyst,0-1,5.3
ZS Associates,Business Analyst,2-3,6.9
PwC,Data Analyst,3-5,8.5
EY,Operations Analyst,0-1,4.3
Genpact,Business Analyst,7+,13.4
Infosys,Data Analyst,0-1,5
EY,Business Analyst,2-3,7.8
Wipro,Financial Analyst,5-7,10.3
EY,Marketing Analyst,0-1,3.9
McKinsey,Business Analyst,7+,12.8
KPMG,Business Analyst,2-3,6.3
Accenture,Financial Analyst,1-2,5.3
McKinsey,Marketing Analyst,3-5,7.1
HCL,Marketing Analyst,7+,10.1
Wipro,Marketing Analyst,3-5,7.7
HCL,Financial Analyst,0-1,4.5
PwC,Operations Analyst,5-7,8.3
McKinsey,Marketing Analyst,3-5,7.6
Accenture,Business Analyst,5-7,10.7
PwC,Marketing Analyst,5-7,8
PwC,Marketing Analyst,2-3,5.7
HCL,Business Analyst,5-7,11.3
PwC,Operations Analyst,3-5,7.4
ZS Associates,Marketing Analyst,1-2,5.8
Accenture,Marketing Analyst,7+,10.6
HCL,Financial Analyst,1-2,6.1
HCL,Marketing Analyst,7+,10.4
PwC,Marketing Analyst,3-5,7.9
Cognizant,Data Analyst,3-5,8.2
ZS Associates,Marketing Analyst,1-2,4.4
Genpact,Financial Analyst,5-7,10.3
TCS,Business Analyst,3-5,8.3
McKinsey,Data Analyst,1-2,5.4
Cognizant,Marketing Analyst,2-3,5.8
KPMG,Data Analyst,5-7,9.5
HCL,Financial Analyst,5-7,10.3
McKinsey,Business Analyst,1-2,6.7
IBM,Data Analyst,7+,12
Capgemini,Data Analyst,2-3,6.3
Infosys,Operations Analyst,3-5,7.3
IBM,Data Analyst,0-1,5.7
Wipro,Marketing Analyst,0-1,4.8
Infosys,Business Analyst,1-2,6.3
Capgemini,Marketing Analyst,3-5,7.4
EY,Financial Analyst,2-3,6.7
HCL,Financial Analyst,3-5,7.7
HCL,Business Analyst,3-5,8.3
McKinsey,Data Analyst,5-7,10.6
Cognizant,Operations Analyst,7+,11.2
HCL,Data Analyst,3-5,7.7
EY,Business Analyst,0-1,5.2
EY,Marketing Analyst,0-1,4
ZS Associates,Business Analyst,3-5,8.5
Infosys,Marketing Analyst,1-2,5.7
Capgemini,Financial Analyst,1-2,4.7
Cognizant,Data Analyst,7+,12.6
Accenture,Marketing Analyst,3-5,7.3
HCL,Operations Analyst,1-2,5.4
Capgemini,Business Analyst,1-2,6.1
IBM,Marketing Analyst,5-7,9.1
HCL,Marketing Analyst,0-1,3.3
Deloitte,Operations Analyst,3-5,7.7
Infosys,Operations Analyst,2-3,6.7
Wipro,Operations Analyst,3-5,6.6
Infosys,Marketing Analyst,0-1,4
HCL,Operations Analyst,7+,10.1
PwC,Financial Analyst,7+,12.6
Cognizant,Financial Analyst,0-1,4.2
Genpact,Operations Analyst,2-3,5.9
PwC,Financial Analyst,5-7,10.1
ZS Associates,Business Analyst,5-7,11
Accenture,Marketing Analyst,2-3,5.8
PwC,Marketing Analyst,2-3,5.9
Infosys,Financial Analyst,5-7,10.5
Cognizant,Business Analyst,5-7,11.5
Cognizant,Data Analyst,0-1,5.1
Capgemini,Operations Analyst,2-3,5.8
Deloitte,Financial Analyst,3-5,8.3
IBM,Marketing Analyst,5-7,8.5
PwC,Data Analyst,3-5,8.1
HCL,Marketing Analyst,0-1,4.1
TCS,Marketing Analyst,3-5,8.2
Wipro,Financial Analyst,3-5,8.2
Capgemini,Business Analyst,1-2,6
Wipro,Operations Analyst,3-5,6.5
ZS Associates,Marketing Analyst,2-3,5.6
Wipro,Business Analyst,1-2,6
Wipro,Financial Analyst,7+,11.6
TCS,Marketing Analyst,7+,11.1
Deloitte,Business Analyst,3-5,9.3
Capgemini,Financial Analyst,5-7,10.8
PwC,Data Analyst,3-5,8.3
Wipro,Financial Analyst,5-7,11.4
Accenture,Operations Analyst,0-1,4.3
Infosys,Business Analyst,2-3,7.1
IBM,Data Analyst,5-7,10.1
Cognizant,Data Analyst,1-2,5
ZS Associates,Operations Analyst,2-3,5.8
KPMG,Marketing Analyst,5-7,8.6
HCL,Data Analyst,2-3,6.1
McKinsey,Data Analyst,1-2,6.6
Infosys,Data Analyst,1-2,5.2
ZS Associates,Operations Analyst,1-2,4.6
TCS,Financial Analyst,3-5,7.8
IBM,Business Analyst,3-5,8.2
Deloitte,Marketing Analyst,2-3,5.5
Infosys,Business Analyst,0-1,5.3
HCL,Financial Analyst,5-7,10.1
PwC,Financial Analyst,2-3,6.3
Wipro,Data Analyst,1-2,6
Cognizant,Marketing Analyst,5-7,9.1
Deloitte,Business Analyst,0-1,6.1
Genpact,Marketing Analyst,1-2,4.8
McKinsey,Operations Analyst,5-7,9
Cognizant,Operations Analyst,7+,9.2
ZS Associates,Business Analyst,0-1,5.2
Genpact,Financial Analyst,0-1,4.6
TCS,Operations Analyst,3-5,6.7
Genpact,Operations Analyst,1-2,5.2
PwC,Operations Analyst,3-5,7.1
Wipro,Business Analyst,3-5,8.2
TCS,Operations Analyst,1-2,4.5
McKinsey,Financial Analyst,3-5,8.2
Wipro,Business Analyst,3-5,9.1
TCS,Business Analyst,3-5,8.2
Cognizant,Business Analyst,0-1,4.8
Wipro,Marketing Analyst,3-5,7.5
KPMG,Data Analyst,0-1,4.7
Accenture,Financial Analyst,1-2,6.1
Wipro,Business Analyst,5-7,10.6
KPMG,Marketing Analyst,7+,11.4
HCL,Operations Analyst,2-3,5.6
McKinsey,Marketing Analyst,3-5,7.8
KPMG,Operations Analyst,2-3,5.9
HCL,Financial Analyst,0-1,4.4
IBM,Operations Analyst,5-7,9.9
Deloitte,Business Analyst,2-3,7.3
Genpact,Data Analyst,0-1,4.8
Genpact,Data Analyst,3-5,8.4
ZS Associates,Financial Analyst,7+,12.7
EY,Operations Analyst,2-3,5.9
Genpact,Marketing Analyst,1-2,4.5
IBM,Financial Analyst,2-3,7.1
Cognizant,Data Analyst,3-5,7.8
ZS Associates,Business Analyst,2-3,7
McKinsey,Operations Analyst,5-7,8.2
McKinsey,Operations Analyst,1-2,5.1
Cognizant,Marketing Analyst,5-7,8.6
Wipro,Financial Analyst,2-3,6.1
Infosys,Operations Analyst,1-2,4.8
IBM,Data Analyst,0-1,4.5
KPMG,Financial Analyst,7+,12.8
EY,Marketing Analyst,3-5,7.2
IBM,Marketing Analyst,2-3,6.2
PwC,Operations Analyst,7+,9.4
Deloitte,Operations Analyst,1-2,5
Capgemini,Operations Analyst,7+,10.9
Infosys,Marketing Analyst,7+,11.1
KPMG,Marketing Analyst,5-7,8.7
Genpact,Marketing Analyst,7+,11.7
Wipro,Financial Analyst,7+,11.9
HCL,Financial Analyst,1-2,5.2
ZS Associates,Financial Analyst,5-7,10.6
IBM,Business Analyst,2-3,6.7
Infosys,Business Analyst,3-5,8.9
Wipro,Financial Analyst,0-1,4.5
Accenture,Business Analyst,5-7,11.8
HCL,Data Analyst,3-5,7.7
Deloitte,Marketing Analyst,0-1,3.4
EY,Data Analyst,1-2,5.5
ZS Associates,Operations Analyst,7+,10.4
TCS,Operations Analyst,2-3,6.1
Infosys,Operations Analyst,2-3,5.9
Deloitte,Financial Analyst,1-2,5.4
Capgemini,Operations Analyst,2-3,6.5
Genpact,Data Analyst,3-5,8
Genpact,Financial Analyst,1-2,4.9
ZS Associates,Business Analyst,5-7,10.9
TCS,Financial Analyst,0-1,5.5
Deloitte,Business Analyst,2-3,6.8
Capgemini,Business Analyst,1-2,5.8
